arm_length_m,test_mass_kg,snr_year
1280.0,93.0,2.679648879271725e-10
1280.0,94.0,2.679649002409088e-10
1280.0,95.0,2.67964912167842e-10
1280.0,96.0,2.6796492372400483e-10
1280.0,97.0,2.6796493492460743e-10
1280.0,98.0,2.679649457840882e-10
1280.0,99.0,2.6796495631616e-10
1280.0,100.0,2.6796496653385317e-10
1290.0,10.0,2.680229989988273e-10
1290.0,11.0,2.680314761315791e-10
1290.0,12.0,2.680379242248206e-10
1290.0,13.0,2.680429426796067e-10
1290.0,14.0,2.680469248704264e-10
1290.0,15.0,2.6805013762812677e-10
1290.0,16.0,2.6805276712085173e-10
1290.0,17.0,2.680549464387304e-10
1290.0,18.0,2.680567727692476e-10
1290.0,19.0,2.6805831842185687e-10
1290.0,20.0,2.680596380961491e-10
1290.0,21.0,2.680607737881994e-10
1290.0,22.0,2.6806175817315227e-10
1290.0,23.0,2.6806261698182494e-10
1290.0,24.0,2.6806337069926186e-10
1290.0,25.0,2.6806403579763774e-10
1290.0,26.0,2.6806462564388497e-10
1290.0,27.0,2.6806515117654814e-10
1290.0,28.0,2.680656214165677e-10
1290.0,29.0,2.680660438569771e-10
1290.0,30.0,2.680664247632425e-10
1290.0,31.0,2.6806676940691623e-10
1290.0,32.0,2.6806708224900436e-10
1290.0,33.0,2.680673670850471e-10
1290.0,34.0,2.680676271607833e-10
1290.0,35.0,2.680678652650216e-10
1290.0,36.0,2.6806808380471345e-10
1290.0,37.0,2.6806828486601897e-10
1290.0,38.0,2.6806847026427675e-10
1290.0,39.0,2.6806864158512324e-10
1290.0,40.0,2.6806880021850763e-10
1290.0,41.0,2.68068947386973e-10
1290.0,42.0,2.680690841692808e-10
1290.0,43.0,2.680692115202353e-10
1290.0,44.0,2.680693302873913e-10
1290.0,45.0,2.680694412251923e-10
1290.0,46.0,2.680695450069806e-10
1290.0,47.0,2.6806964223523887e-10
1290.0,48.0,2.6806973345035394e-10
1290.0,49.0,2.6806981913814037e-10
1290.0,50.0,2.6806989973632404e-10
1290.0,51.0,2.680699756401422e-10
1290.0,52.0,2.6807004720719827e-10
1290.0,53.0,2.680701147616818e-10
1290.0,54.0,2.68070178598046e-10
1290.0,55.0,2.680702389842217e-10
1290.0,56.0,2.680702961644334e-10
1290.0,57.0,2.6807035036167215e-10
1290.0,58.0,2.6807040177987374e-10
1290.0,59.0,2.680704506058387e-10
1290.0,60.0,2.680704970109322e-10
1290.0,61.0,2.680705411525895e-10
1290.0,62.0,2.6807058317565265e-10
1290.0,63.0,2.6807062321356086e-10
1290.0,64.0,2.680706613894102e-10
1290.0,65.0,2.6807069781690157e-10
1290.0,66.0,2.6807073260118807e-10
1290.0,67.0,2.6807076583963457e-10
1290.0,68.0,2.6807079762250004e-10
1290.0,69.0,2.680708280335506e-10
